@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R23-25-weka.filters.unsupervised.attribute.Remove-R20

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
5,7,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,North,582
5,8,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,North,581
5,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,North,580
4,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,West,579
3,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,West,578
2,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,West,577
1,9,0,1,1,0,1,1,1,5,12,5,1,7,1,-1,7,-1,-1,West,576
1,8,1,1,1,0,1,1,1,5,12,5,1,7,1,-1,8,-1,-1,South,575
1,7,1,1,1,0,1,1,1,5,12,5,1,7,1,-1,9,-1,-1,South,574
1,6,1,1,1,0,1,1,1,5,12,5,1,7,1,-1,10,-1,-1,South,573
1,5,1,1,1,0,1,1,1,5,12,5,1,7,1,-1,11,-1,-1,South,572
1,4,1,1,1,0,1,1,1,5,12,5,1,7,1,-1,12,-1,-1,South,571
1,3,1,1,0,0,1,1,1,5,12,5,1,7,1,-1,13,-1,-1,South,570
2,3,1,1,0,1,1,1,1,5,12,5,1,7,1,-1,12,-1,-1,East,569
3,3,1,1,0,1,1,1,1,5,12,5,1,7,1,-1,11,-1,-1,East,568
4,3,1,1,0,1,1,1,1,5,12,5,1,7,1,-1,10,-1,-1,East,567
5,3,1,1,0,1,1,1,1,5,12,5,1,7,1,-1,9,-1,-1,East,566
5,4,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,8,-1,-1,North,565
5,5,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,7,-1,-1,North,564
5,6,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,North,563
5,7,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,North,562
5,8,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,North,561
5,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,North,560
6,9,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,East,559
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,Stop,0
5,12,0,1,1,1,1,9,3,11,7,19,12,22,9,13,11,14,20,East,-1
6,12,0,1,1,1,1,9,3,11,7,19,12,22,9,12,10,13,19,East,-2
7,12,0,1,1,1,1,9,3,11,7,19,12,22,9,11,9,12,18,East,97
8,12,0,1,1,1,1,9,3,11,7,19,12,22,9,10,8,11,17,East,196
9,12,0,1,1,1,1,9,3,11,7,19,12,22,9,9,7,10,16,East,295
10,12,0,1,1,1,1,9,3,11,7,19,12,22,9,10,6,9,15,East,394
11,12,0,1,1,1,1,9,3,11,7,19,12,22,9,11,5,8,14,East,393
11,11,1,1,1,1,1,9,3,11,7,19,12,22,9,10,4,9,13,South,492
11,10,1,1,1,1,1,9,3,11,7,19,12,22,9,9,3,10,12,South,591
11,9,1,1,1,1,1,9,3,11,7,19,12,22,9,8,2,11,11,South,590
11,8,1,1,1,1,1,9,3,11,7,19,12,22,9,7,1,12,12,South,689
11,7,1,1,1,1,1,9,3,3,1,19,12,22,9,6,-1,13,13,South,888
10,7,1,1,1,1,1,9,3,3,1,19,12,22,9,5,-1,14,14,West,987
9,7,1,1,1,1,1,9,3,3,1,19,12,22,9,4,-1,15,15,West,986
9,6,1,1,1,1,1,9,3,3,1,19,12,22,9,3,-1,16,16,South,1085
9,5,1,1,1,1,1,9,3,3,1,19,12,22,9,2,-1,17,17,South,1084
9,4,1,1,1,1,1,9,3,3,1,19,12,22,9,1,-1,18,18,South,1083
9,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,19,19,South,1282
8,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,20,20,West,1381
8,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,19,19,North,1380
9,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,18,18,East,1379
10,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,17,17,East,1478
11,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,16,16,East,1577
12,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,15,15,East,1676
13,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,14,14,East,1675
14,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,13,13,East,1674
15,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,12,12,East,1773
16,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,11,11,East,1872
17,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,10,10,East,1971
18,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,9,9,East,1970
19,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,8,8,East,1969
19,5,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,7,7,North,1968
19,6,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,6,6,North,2067
19,7,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,5,5,North,2066
19,8,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,4,4,North,2065
19,9,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,3,3,North,2164
19,10,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,2,4,North,2163
19,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,1,5,North,2162
19,12,0,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,6,North,2361
18,12,0,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,7,West,2460
18,11,1,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,6,South,2459
19,11,1,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,5,East,2458
20,11,1,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,4,East,2557
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,Stop,0
8,3,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,7,18,West,99
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,East,98
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,East,197
11,3,0,1,0,1,1,3,5,8,7,11,7,18,11,10,7,4,15,East,296
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,West,295
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,West,294
8,3,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,7,18,West,293
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,East,292
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,East,291
11,3,0,1,0,1,1,3,5,8,7,11,7,18,11,10,7,4,15,East,290
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,West,289
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,West,288
8,3,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,7,18,West,287
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,East,286
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,East,285
11,3,0,1,0,1,1,3,5,8,7,11,7,18,11,10,7,4,15,East,284
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,West,283
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,West,282
8,3,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,7,18,West,281
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,East,280
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,East,279
11,3,0,1,0,1,1,3,5,8,7,11,7,18,11,10,7,4,15,East,278
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,West,277
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,West,276
8,3,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,7,18,West,275
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,East,274
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,East,273
11,3,0,1,0,1,1,3,5,8,7,11,7,18,11,10,7,4,15,East,272
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,West,271
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,West,270
8,3,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,7,18,West,269
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,East,268
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,East,267
11,3,0,1,0,1,1,3,5,8,7,11,7,18,11,10,7,4,15,East,266
12,3,0,1,0,1,1,3,5,8,7,11,7,18,11,11,8,5,14,East,365
13,3,1,0,0,1,1,3,5,8,7,11,7,18,11,12,9,6,13,East,464
13,4,1,0,1,0,1,3,5,8,7,11,7,18,11,11,8,5,12,North,563
13,5,1,1,1,1,1,3,5,8,7,11,7,18,11,10,7,4,11,North,662
12,5,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,3,12,West,761
11,5,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,2,13,West,860
12,5,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,3,12,East,859
13,5,1,1,1,1,1,3,5,8,7,11,7,18,11,10,7,4,11,East,858
13,6,1,0,1,0,1,3,5,8,7,11,7,18,11,11,6,3,10,North,957
13,7,1,1,1,0,1,3,5,8,7,11,7,18,11,12,5,2,9,North,1056
13,6,1,0,1,0,1,3,5,8,7,11,7,18,11,11,6,3,10,South,1055
13,5,1,1,1,1,1,3,5,8,7,11,7,18,11,10,7,4,11,South,1054
12,5,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,3,12,West,1053
11,5,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,2,13,West,1052
10,5,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,3,14,West,1151
9,5,0,1,0,1,1,3,5,8,7,11,7,18,11,6,3,4,15,West,1250
8,5,0,1,0,1,1,3,5,8,7,11,7,18,11,5,2,5,16,West,1349
7,5,0,1,0,1,1,3,5,8,7,11,7,18,11,4,3,6,17,West,1448
6,5,1,1,1,1,1,3,5,8,7,11,7,18,11,3,4,7,18,West,1547
5,5,0,1,0,1,1,3,5,8,7,11,7,18,11,2,5,8,19,West,1646
4,5,0,1,1,1,1,3,5,8,7,11,7,18,11,1,6,9,20,West,1745
3,5,1,1,0,0,1,1,1,8,7,11,7,18,11,-1,7,10,21,West,1944
3,6,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,6,9,20,North,2043
3,7,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,5,8,19,North,2142
4,7,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,4,7,18,East,2241
5,7,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,17,East,2340
6,7,1,0,1,1,1,1,1,8,7,11,7,18,11,-1,2,5,16,East,2439
6,8,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,3,6,15,North,2538
6,9,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,4,7,14,North,2637
7,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,13,East,2736
8,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,2,5,12,East,2835
7,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,13,West,2834
6,9,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,4,7,14,West,2833
6,8,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,3,6,15,South,2832
6,7,1,0,1,1,1,1,1,8,7,11,7,18,11,-1,2,5,16,South,2831
6,8,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,3,6,15,North,2830
6,9,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,4,7,14,North,2829
7,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,13,East,2828
8,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,2,5,12,East,2827
7,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,13,West,2826
6,9,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,4,7,14,West,2825
6,8,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,3,6,15,South,2824
6,7,1,0,1,1,1,1,1,8,7,11,7,18,11,-1,2,5,16,South,2823
6,8,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,3,6,15,North,2822
6,9,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,4,7,14,North,2821
7,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,13,East,2820
8,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,2,5,12,East,2819
9,9,0,1,1,1,1,1,1,8,7,11,7,18,11,-1,3,4,11,East,2918
9,8,1,1,1,0,1,1,1,8,7,11,7,18,11,-1,2,3,12,South,2917
9,7,1,1,0,1,1,1,1,8,7,11,7,18,11,-1,1,2,13,South,2916
8,7,0,1,0,0,1,1,1,3,1,11,7,18,11,-1,-1,3,14,West,3115
9,7,1,1,0,1,1,1,1,3,1,11,7,18,11,-1,-1,2,13,East,3114
10,7,1,1,0,1,1,1,1,3,1,11,7,18,11,-1,-1,1,12,East,3113
11,7,0,0,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,11,East,3312
10,7,1,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,12,West,3311
10,8,1,0,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,11,North,3310
10,9,0,1,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,10,North,3409
11,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,9,East,3508
12,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,8,East,3607
13,9,1,1,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,7,East,3706
14,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,6,East,3805
15,9,1,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,5,East,3904
16,9,0,0,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,4,East,4003
15,9,1,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,5,West,4002
15,10,1,0,1,0,1,1,1,3,1,5,1,18,11,-1,-1,-1,4,North,4101
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,Stop,0
8,3,1,1,0,1,1,8,7,10,7,11,7,17,9,4,6,7,15,West,99
8,4,1,0,1,0,1,8,7,10,7,11,7,17,9,3,5,6,14,North,98
8,5,0,1,1,0,1,8,7,10,7,11,7,17,9,2,4,5,13,North,97
9,5,1,1,0,1,1,8,7,10,7,11,7,17,9,3,3,4,12,East,96
9,6,1,0,1,0,1,8,7,10,7,11,7,17,9,2,2,3,11,North,95
9,7,1,1,1,1,1,8,7,10,7,11,7,17,9,1,1,2,10,North,94
8,7,0,1,0,1,1,1,1,10,7,11,7,17,9,-1,2,3,11,West,293
9,7,1,1,1,1,1,1,1,10,7,11,7,17,9,-1,1,2,10,East,292
10,7,1,1,0,1,1,1,1,3,1,11,7,17,9,-1,-1,1,9,East,491
11,7,0,0,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,8,East,690
10,7,1,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,9,West,689
10,8,1,0,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,8,North,788
10,9,0,1,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,7,North,887
11,9,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,6,East,986
12,9,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,East,1085
13,9,0,0,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,East,1184
13,8,1,0,1,0,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,South,1283
13,7,1,1,1,0,1,1,1,3,1,5,1,17,9,-1,-1,-1,6,South,1382
14,7,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,East,1481
15,7,1,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,East,1580
16,7,0,1,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,3,East,1679
17,7,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,2,East,1778
16,7,0,1,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,3,West,1777
15,7,1,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,West,1776
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,Stop,0
2,18,0,1,0,1,1,5,9,11,3,17,6,25,13,12,24,27,28,East,-1
3,18,0,1,0,1,1,5,9,11,3,17,6,25,13,11,23,26,27,East,-2
4,18,0,1,0,1,1,5,9,11,3,17,6,25,13,10,22,25,26,East,-3
5,18,0,1,0,1,1,5,9,11,3,17,6,25,13,9,21,24,25,East,-4
4,18,0,1,0,1,1,5,9,11,3,17,6,25,13,10,22,25,26,West,-5
3,18,0,1,0,1,1,5,9,11,3,17,6,25,13,11,23,26,27,West,-6
2,18,0,1,0,1,1,5,9,11,3,17,6,25,13,12,24,27,28,West,-7
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,West,-8
1,17,1,0,1,0,1,5,9,11,3,17,6,25,13,12,24,27,28,South,-9
1,16,1,1,1,0,1,5,9,11,3,17,6,25,13,11,23,26,27,South,-10
2,16,0,1,1,1,1,5,9,11,3,17,6,25,13,10,22,25,26,East,-11
3,16,0,1,1,1,1,5,9,11,3,17,6,25,13,9,21,24,25,East,-12
4,16,0,1,1,1,1,5,9,11,3,17,6,25,13,8,20,23,24,East,-13
5,16,0,1,1,1,1,5,9,11,3,17,6,25,13,7,19,22,23,East,-14
5,15,1,1,1,1,1,5,9,11,3,17,6,25,13,6,18,21,22,South,-15
5,14,1,1,0,1,1,5,9,11,3,17,6,25,13,5,17,20,21,South,-16
6,14,1,1,0,1,1,5,9,11,3,17,6,25,13,6,16,19,20,East,-17
7,14,1,1,0,1,1,5,9,11,3,17,6,25,13,7,15,18,19,East,-18
8,14,1,1,1,1,1,5,9,11,3,17,6,25,13,8,14,17,18,East,-19
8,13,1,1,1,0,1,5,9,11,3,17,6,25,13,7,13,16,17,South,-20
8,12,1,1,1,1,1,5,9,11,3,17,6,25,13,6,12,15,18,South,-21
7,12,0,1,0,1,1,5,9,11,3,17,6,25,13,5,13,16,19,West,-22
6,12,0,1,0,1,1,5,9,11,3,17,6,25,13,4,14,17,20,West,-23
5,12,0,1,0,1,1,5,9,11,3,17,6,25,13,3,15,18,21,West,-24
6,12,0,1,0,1,1,5,9,11,3,17,6,25,13,4,14,17,20,East,-25
7,12,0,1,0,1,1,5,9,11,3,17,6,25,13,5,13,16,19,East,-26
8,12,1,1,1,1,1,5,9,11,3,17,6,25,13,6,12,15,18,East,-27
8,11,1,1,1,0,1,5,9,11,3,17,6,25,13,5,11,14,19,South,-28
8,10,1,1,1,0,1,5,9,11,3,17,6,25,13,4,10,13,20,South,-29
8,9,1,1,1,0,1,5,9,11,3,17,6,25,13,3,9,12,21,South,-30
8,8,1,1,1,0,1,5,9,11,3,17,6,25,13,4,8,11,22,South,-31
8,7,1,1,1,0,1,5,9,11,3,17,6,25,13,5,7,10,23,South,-32
8,6,1,1,1,1,1,5,9,11,3,17,6,25,13,6,6,9,24,South,-33
7,6,0,1,0,1,1,5,9,11,3,17,6,25,13,5,7,10,25,West,-34
6,6,1,1,0,1,1,5,9,11,3,17,6,25,13,4,8,11,26,West,-35
5,6,1,1,1,1,1,5,9,11,3,17,6,25,13,3,9,12,27,West,-36
5,7,1,1,1,1,1,5,9,11,3,17,6,25,13,2,10,13,26,North,-37
5,8,1,1,1,1,1,5,9,11,3,17,6,25,13,1,11,14,25,North,-38
5,9,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,12,15,24,North,161
4,9,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,13,16,25,West,160
4,8,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,12,15,26,South,159
5,8,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,11,14,25,East,158
6,8,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,10,13,24,East,157
6,7,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,9,12,25,South,156
6,6,1,1,0,1,1,1,1,11,3,17,6,25,13,-1,8,11,26,South,155
7,6,0,1,0,1,1,1,1,11,3,17,6,25,13,-1,7,10,25,East,154
8,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,6,9,24,East,153
9,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,5,8,23,East,152
10,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,4,7,22,East,151
11,6,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,3,6,21,East,150
11,5,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,2,7,22,South,149
11,4,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,1,8,23,South,148
11,3,1,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,24,South,347
10,3,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,10,25,West,346
10,4,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,9,24,North,345
11,4,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,23,East,344
11,5,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,22,North,343
11,6,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,6,21,North,342
11,7,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,20,North,341
11,8,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,19,North,340
11,9,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,9,18,North,339
11,10,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,17,North,338
11,11,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,11,16,North,337
11,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,North,336
12,12,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,11,14,East,335
13,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,13,East,334
14,12,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,9,12,East,333
15,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,11,East,332
16,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,10,East,331
17,12,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,6,9,East,330
17,11,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,5,10,South,329
17,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,4,11,South,328
18,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,5,10,East,327
19,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,6,9,East,326
20,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,7,8,East,325
21,10,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,8,7,East,324
22,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,6,East,323
23,10,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,5,East,322
24,10,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,11,4,East,321
25,10,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,12,3,East,320
25,11,0,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,13,2,North,319
24,11,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,12,3,West,318
23,11,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,11,4,West,317
22,11,0,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,10,5,West,316
22,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,6,South,315
21,10,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,8,7,West,314
20,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,7,8,West,313
19,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,6,9,West,312
18,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,5,10,West,311
17,10,1,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,4,11,West,310
